,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SaleType,SaleCondition,SalePrice
0,1,60,1,65.0,8450,0.75,0.875,1,0.75,1,0.8333333333333334,1,1,1,1,1,0.65,0.45,2003,2003,1,1,1,1,1,196.0,0.7,0.5,1,0.7,0.5,0.9,0.9285714285714286,706.0,0.21428571428571427,150.0,856.0,1,0.9,1,1,856,854,1710,1.0,2,1,3,1,0.7,8,Typ,0,0,1,2003.0,0.625,2.0,548.0,0.1,0.5,0.8333333333333334,0,61,0,0,1,1,208500.0
1,2,20,1,80.0,9600,0.75,0.875,1,0.75,2,0.8333333333333334,2,2,1,1,2,0.55,0.75,1976,1976,1,1,2,2,2,0.0,0.5,0.5,2,0.7,0.5,0.7,0.7857142857142857,978.0,0.21428571428571427,284.0,1262.0,1,0.9,1,1,1262,0,1262,0.0,2,0,3,1,0.5,6,Typ,1,0.5,1,1976.0,0.625,2.0,460.0,0.1,0.5,0.8333333333333334,298,0,0,0,1,1,181500.0
2,3,60,1,68.0,11250,0.75,0.625,1,0.75,1,0.8333333333333334,1,1,1,1,1,0.65,0.45,2001,2002,1,1,1,1,1,162.0,0.7,0.5,1,0.7,0.5,0.5,0.9285714285714286,486.0,0.21428571428571427,434.0,920.0,1,0.9,1,1,920,866,1786,1.0,2,1,3,1,0.7,6,Typ,1,0.5,1,2001.0,0.625,2.0,608.0,0.1,0.5,0.8333333333333334,0,42,0,0,1,1,223500.0
3,4,70,1,60.0,9550,0.75,0.625,1,0.75,3,0.8333333333333334,3,1,1,1,1,0.65,0.45,1915,1970,1,1,3,3,2,0.0,0.5,0.5,3,0.5,0.7,0.9,0.7857142857142857,216.0,0.21428571428571427,540.0,756.0,1,0.7,1,1,961,756,1717,1.0,1,0,3,1,0.7,7,Typ,1,0.7,2,1998.0,0.375,3.0,642.0,0.1,0.5,0.8333333333333334,0,35,272,0,1,2,140000.0
4,5,60,1,84.0,14260,0.75,0.625,1,0.75,2,0.8333333333333334,4,1,1,1,1,0.75,0.45,2000,2000,1,1,1,1,1,350.0,0.7,0.5,1,0.7,0.5,0.3,0.9285714285714286,655.0,0.21428571428571427,490.0,1145.0,1,0.9,1,1,1145,1053,2198,1.0,2,1,4,1,0.7,9,Typ,1,0.5,1,2000.0,0.625,3.0,836.0,0.1,0.5,0.8333333333333334,192,84,0,0,1,1,250000.0
5,6,50,1,85.0,14115,0.75,0.625,1,0.75,1,0.8333333333333334,5,1,1,1,3,0.45,0.45,1993,1995,1,1,1,1,2,0.0,0.5,0.5,4,0.7,0.5,0.9,0.9285714285714286,732.0,0.21428571428571427,64.0,796.0,1,0.9,1,1,796,566,1362,1.0,1,1,1,1,0.5,5,Typ,0,0,1,1993.0,0.375,2.0,480.0,0.1,0.5,0.8333333333333334,40,30,0,0,1,1,143000.0
6,7,20,1,75.0,10084,0.75,0.875,1,0.75,1,0.8333333333333334,6,1,1,1,2,0.75,0.45,2004,2005,1,1,1,1,3,186.0,0.7,0.5,1,0.9,0.5,0.3,0.9285714285714286,1369.0,0.21428571428571427,317.0,1686.0,1,0.9,1,1,1694,0,1694,1.0,2,0,3,1,0.7,7,Typ,1,0.7,1,2004.0,0.625,2.0,636.0,0.1,0.5,0.8333333333333334,255,57,0,0,1,1,307000.0
7,8,60,1,,10382,0.75,0.625,1,0.75,3,0.8333333333333334,7,3,1,1,1,0.65,0.55,1973,1973,1,1,4,4,3,240.0,0.5,0.5,2,0.7,0.5,0.5,0.7857142857142857,859.0,0.6428571428571429,216.0,1107.0,1,0.9,1,1,1107,983,2090,1.0,2,1,3,1,0.5,7,Typ,2,0.5,1,1973.0,0.625,2.0,484.0,0.1,0.5,0.8333333333333334,235,204,228,0,1,1,200000.0
8,9,50,2,51.0,6120,0.75,0.875,1,0.75,1,0.8333333333333334,8,4,1,1,3,0.65,0.45,1931,1950,1,1,5,3,2,0.0,0.5,0.5,3,0.5,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,952.0,952.0,1,0.7,1,2,1022,752,1774,0.0,2,0,2,2,0.5,8,Min1,2,0.5,2,1931.0,0.375,2.0,468.0,0.3,0.5,0.8333333333333334,90,0,205,0,1,2,129900.0
9,10,190,1,50.0,7420,0.75,0.875,1,0.75,3,0.8333333333333334,9,4,2,2,4,0.45,0.55,1939,1950,1,1,2,2,2,0.0,0.5,0.5,3,0.5,0.5,0.9,0.9285714285714286,851.0,0.21428571428571427,140.0,991.0,1,0.9,1,1,1077,0,1077,1.0,1,0,2,2,0.5,5,Typ,2,0.5,1,1939.0,0.625,1.0,205.0,0.5,0.5,0.8333333333333334,0,4,0,0,1,1,118000.0
