Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,SalePrice
1,0.7,0.5,0.125,0.916666667,0.57522774,0.125,-0.28855396,-0.94426706,-0.459145218,1,0.9,1,1,-0.793162023,1.161453625,-0.120200538,0.370206591,1.107430697,-0.240978467,0.789470017,1.227164899,0.163723019,-0.211381153,0.7,0.911897317,208500
2,0.7,0.5,0.875,0.75,1.171590683,0.125,-0.28855396,-0.641008357,0.46630514,1,0.9,1,1,0.257052353,-0.794890864,-0.120200538,-0.482346642,-0.819683508,3.947456785,0.789470017,-0.761359798,0.163723019,-0.211381153,0.5,-0.318574109,181500
1,0.7,0.5,0.375,0.916666667,0.092875359,0.125,-0.28855396,-0.301539659,-0.313261418,1,0.9,1,1,-0.627610988,1.188943243,-0.120200538,0.514836157,1.107430697,-0.240978467,0.789470017,1.227164899,0.163723019,-0.211381153,0.7,-0.318574109,223500
3,0.5,0.7,0.125,0.75,-0.499102563,0.125,-0.28855396,-0.061648446,-0.687088657,1,0.7,1,1,-0.521554857,0.936955077,-0.120200538,0.383527735,1.107430697,-0.240978467,-1.025689392,-0.761359798,0.163723019,-0.211381153,0.7,0.296661604,140000
1,0.7,0.5,0.625,0.916666667,0.463409688,0.125,-0.28855396,-0.174804678,0.199611318,1,0.9,1,1,-0.045595632,1.617323125,-0.120200538,1.298880649,1.107430697,-0.240978467,0.789470017,1.227164899,1.389546644,-0.211381153,0.7,1.52713303,250000
4,0.7,0.5,0.125,0.916666667,0.632233021,0.125,-0.28855396,-1.138895781,-0.595911281,1,0.9,1,1,-0.948366118,0.50170279,-0.120200538,-0.292044581,1.107430697,-0.240978467,-1.025689392,1.227164899,-2.287924233,-0.211381153,0.5,-0.933809822,143000
1,0.9,0.5,0.625,0.916666667,2.028862415,0.125,-0.28855396,-0.566325243,1.432785318,1,0.9,1,1,1.374521837,-0.794890864,-0.120200538,0.339758261,1.107430697,-0.240978467,0.789470017,-0.761359798,0.163723019,-0.211381153,0.7,0.296661604,307000
2,0.7,0.5,0.375,0.75,0.910681896,0.583333333,-0.090189565,-0.794900833,0.112992811,1,0.9,1,1,-0.143891559,1.45696702,-0.120200538,1.093354423,1.107430697,-0.240978467,0.789470017,1.227164899,0.163723019,-0.211381153,0.5,0.296661604,200000
3,0.5,0.5,0.125,0.125,-0.9726849,0.125,-0.28855396,0.870758912,-0.240319518,1,0.7,1,2,-0.363764027,0.927791871,-0.120200538,0.49199991,-0.819683508,-0.240978467,0.789470017,-0.761359798,-1.062100607,4.327096548,0.5,0.911897317,129900
3,0.5,0.5,0.125,0.916666667,0.893141809,0.125,-0.28855396,-0.966898307,-0.151421577,1,0.9,1,1,-0.221493607,-0.794890864,-0.120200538,-0.834405455,1.107430697,-0.240978467,-1.025689392,-0.761359798,-1.062100607,4.327096548,0.5,-0.933809822,118000
2,0.5,0.5,0.125,0.625,1.013729904,0.125,-0.28855396,-0.980477055,-0.039729292,1,0.9,1,1,-0.317202798,-0.794890864,-0.120200538,-0.904817218,1.107430697,-0.240978467,-1.025689392,-0.761359798,0.163723019,-0.211381153,0.5,-0.933809822,129500
1,0.9,0.5,0.125,0.916666667,1.2154409,0.125,-0.28855396,-0.883162695,0.267994349,1,0.9,1,1,0.05011356,1.82120446,-0.120200538,1.538661246,1.107430697,-0.240978467,2.604629425,-0.761359798,1.389546644,-0.211381153,0.9,2.757604456,345000
2,0.5,0.5,0.125,0.75,0.643195575,0.125,-0.28855396,-0.887688944,-0.331496893,1,0.5,1,1,-0.648304868,-0.794890864,-0.120200538,-1.148403856,1.107430697,-0.240978467,-1.025689392,-0.761359798,-1.062100607,-0.211381153,0.5,-1.549045535,144000
1,0.7,0.5,0.625,0.125,-0.9726849,0.125,-0.28855396,2.097372474,0.995133917,1,0.9,1,1,0.857174853,-0.794890864,-0.120200538,-0.040845861,-0.819683508,-0.240978467,0.789470017,-0.761359798,0.163723019,-0.211381153,0.7,0.296661604,279500
2,0.5,0.5,0.125,0.583333333,0.634425532,0.125,-0.28855396,-0.106910939,0.445790231,1,0.5,1,1,0.233771739,-0.794890864,-0.120200538,-0.499473828,1.107430697,-0.240978467,-1.025689392,1.227164899,-1.062100607,-0.211381153,0.5,-0.933809822,157000
3,0.5,0.5,0.125,0.125,-0.9726849,0.125,-0.28855396,0.599183953,-0.513851644,1,0.9,1,3,-0.798335493,-0.794890864,-0.120200538,-1.258779052,-0.819683508,-0.240978467,-1.025689392,-0.761359798,-1.062100607,-0.211381153,0.5,-0.933809822,132000
2,0.5,0.5,0.125,0.75,0.294586355,0.125,-0.28855396,-0.319644656,-0.12178893,1,0.9,1,1,-0.410325255,-0.794890864,-0.120200538,-0.97332596,1.107430697,-0.240978467,-1.025689392,-0.761359798,-1.062100607,-0.211381153,0.5,-0.933809822,149000
5,0,0,0,0,-0.9726849,0.5,-0.28855396,-1.283735758,-2.410341049,1,0.5,1,1,0.34500134,-0.794890864,-0.120200538,-0.417643942,-0.819683508,-0.240978467,0.789470017,-0.761359798,-1.062100607,4.327096548,0.5,-0.318574109,90000
1,0.5,0.5,0.125,0.916666667,0.443677091,0.125,-0.28855396,-0.224593421,0.128948852,1,0.9,1,1,-0.125784415,-0.794890864,-0.120200538,-0.763993693,1.107430697,-0.240978467,-1.025689392,1.227164899,0.163723019,-0.211381153,0.7,-0.318574109,159000
