Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SaleType,SaleCondition,SalePrice
1,60,1,65.0,-0.2178413684926929,0.75,0.875,1,0.75,1,0.8333333333333334,1,1,1,1,1,0.65,0.45,1.0460783655857715,0.8966792953797542,1,1,1,1,1,0.5289435398538022,0.7,0.5,1,0.7,0.5,0.9,0.9285714285714286,0.5810458613381323,0.21428571428571427,-0.9340047833650899,-0.4430020073232798,1,0.9,1,1,-0.7737284578963848,1.2071717183014252,0.4134763730951743,1.0871478175873686,0.7812319615337806,1.232387720662429,0.16989797903430978,-0.20766289448672728,0.7,0.9866803134103238,1,-0.9241528710642197,0.0,1,0.2949518985393813,0.625,0.30698716627569994,0.34930376792912154,0.0,0.5,0.8333333333333334,-0.7406335114617164,0.19997174671170043,-0.35953914829025974,0,1,1,20.85
2,20,1,80.0,-0.0720317411467486,0.75,0.875,1,0.75,2,0.8333333333333334,2,2,1,1,2,0.55,0.75,0.15473749065294862,-0.3955364208842937,1,1,2,2,2,-0.5669188163210045,0.5,0.5,2,0.7,0.5,0.7,0.7857142857142857,1.1780529056581752,0.21428571428571427,-0.6291758996895421,0.47738142901593006,1,0.9,1,1,0.26103005235454874,-0.7848905642207468,-0.4718098135882958,-0.8187888067594956,0.7812319615337806,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.5,-0.2877089940430985,1,0.6235248286698352,0.5,1,0.23491004552726172,0.625,0.30698716627569994,-0.05898129002163166,0.0,0.5,0.8333333333333334,1.61460266161456,-0.7027223652857307,-0.35953914829025974,0,1,1,18.15
3,60,1,68.0,0.1371733763496063,0.75,0.625,1,0.75,1,0.8333333333333334,1,1,1,1,1,0.65,0.45,0.9800531155907476,0.8488194540366414,1,1,1,1,1,0.3388449678642949,0.7,0.5,1,0.7,0.5,0.5,0.9285714285714286,0.09817251666750942,0.21428571428571427,-0.2879495373661678,-0.2979169336146359,1,0.9,1,1,-0.6106138158863854,1.2351632257841725,0.563658851193263,1.0871478175873686,0.7812319615337806,1.232387720662429,0.16989797903430978,-0.20766289448672728,0.7,-0.2877089940430985,1,0.6235248286698352,0.5,1,0.2905043538718169,0.625,0.30698716627569994,0.6276799438046351,0.0,0.5,0.8333333333333334,-0.7406335114617164,-0.0811952717793027,-0.35953914829025974,0,1,1,22.35
4,70,1,60.0,-0.07837129016178965,0.75,0.625,1,0.75,3,0.8333333333333334,3,1,1,1,1,0.65,0.45,-1.859032634195281,-0.682695468942971,1,1,3,3,2,-0.5669188163210045,0.5,0.5,3,0.5,0.7,0.9,0.7857142857142857,-0.4944447699737096,0.21428571428571427,-0.046816241324316575,-0.6696974349930359,1,0.7,1,1,-0.5061184983487296,0.9785744071923236,0.4273089697621036,1.0871478175873686,-1.0271868296772464,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,0.34948565968361267,1,0.6235248286698352,0.7,2,0.28383303687047023,0.375,1.618986490373457,0.7854264434674261,0.0,0.5,0.8333333333333334,-0.7406335114617164,-0.1847831206970407,3.8743030813271018,0,1,2,14.0
5,60,1,84.0,0.518814227055078,0.75,0.625,1,0.75,2,0.8333333333333334,4,1,1,1,1,0.75,0.45,0.9470404905932357,0.7530997713504156,1,1,1,1,1,1.3899782482768646,0.7,0.5,1,0.7,0.5,0.3,0.9285714285714286,0.4691070405281243,0.21428571428571427,-0.1605583620987747,0.2121477786423154,1,0.9,1,1,-0.03716390256998136,1.6713642173903154,1.3778059693039544,1.0871478175873686,0.7812319615337806,1.232387720662429,1.385418079037127,-0.20766289448672728,0.7,1.623874967137035,1,0.6235248286698352,0.5,1,0.28828058153803465,0.625,1.618986490373457,1.6855094121315866,0.0,0.5,0.8333333333333334,0.7768340899834012,0.5403318217271253,-0.35953914829025974,0,1,1,25.0
6,50,1,85.0,0.5004295349114588,0.75,0.625,1,0.75,1,0.8333333333333334,5,1,1,1,3,0.45,0.45,0.715952115610652,0.5138005646348511,1,1,1,1,2,-0.5669188163210045,0.5,0.5,4,0.7,0.5,0.9,0.9285714285714286,0.6381127111628423,0.21428571428571427,-1.1296412310971577,-0.5790192639251335,1,0.9,1,1,-0.9266484347807592,0.5353755387154937,-0.27420128977502123,1.0871478175873686,-1.0271868296772464,1.232387720662429,-2.2611422209713252,-0.20766289448672728,0.5,-0.9249036477698097,1,-0.9241528710642197,0.0,1,0.2727141752015592,0.375,0.30698716627569994,0.033810768603539515,0.0,0.5,0.8333333333333334,-0.42449442782731694,-0.25877444135256783,-0.35953914829025974,0,1,1,14.3
7,20,1,75.0,-0.010664906681151158,0.75,0.875,1,0.75,1,0.8333333333333334,6,1,1,1,2,0.75,0.45,1.0790909905832835,0.99239897806598,1,1,1,1,3,0.4730321951510059,0.7,0.5,1,0.9,0.5,0.3,0.9285714285714286,2.036250531868237,0.21428571428571427,-0.5541060999783998,1.4385700423356962,1,0.9,1,1,1.3620538859220446,-0.7848905642207468,0.3818590092850504,1.0871478175873686,0.7812319615337806,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,0.34948565968361267,1,0.6235248286698352,0.7,1,0.2971756708731635,0.625,0.30698716627569994,0.7575888258798747,0.0,0.5,0.8333333333333334,1.2747531467075803,0.14077869018727873,-0.35953914829025974,0,1,1,30.7
8,60,1,0.0,0.02711880544849354,0.75,0.625,1,0.75,3,0.8333333333333334,7,3,1,1,1,0.65,0.55,0.055699615660412725,-0.5391159449136324,1,1,4,4,3,0.7749534565461057,0.5,0.5,2,0.7,0.5,0.5,0.7857142857142857,0.9168623237681565,0.6428571428571429,-0.7838651839428051,0.12600351612780808,1,0.9,1,1,-0.1340132212634185,1.508080423740957,1.1643887635856178,1.0871478175873686,0.7812319615337806,1.232387720662429,0.16989797903430978,-0.20766289448672728,0.5,0.34948565968361267,1,2.17120252840389,0.5,1,0.2282387285259151,0.625,0.30698716627569994,0.05236918032857375,0.0,0.5,0.8333333333333334,1.1166836048903805,2.3161235174597765,3.189416838300764,0,1,1,20.0
9,50,2,51.0,-0.5132643525936061,0.75,0.875,1,0.75,1,0.8333333333333334,8,4,1,1,3,0.65,0.45,-1.3308306342350897,-1.6398922958052287,1,1,5,3,2,-0.5669188163210045,0.5,0.5,3,0.5,0.5,0.9,0.6428571428571429,-0.9685385992866848,0.21428571428571427,0.8904188338572183,-0.22537439676031393,1,0.7,1,2,-0.3506498551829489,0.9692439046980745,0.5399458283356701,-0.8187888067594956,0.7812319615337806,-0.7561914703898819,-1.0456221209685077,4.455167790180623,0.5,0.9866803134103238,2,2.17120252840389,0.5,2,0.13484029050706245,0.375,0.30698716627569994,-0.021864466571563188,-0.04,0.5,0.8333333333333334,-0.02932057328431753,-0.7027223652857307,2.831408120355178,0,1,2,12.99
10,190,1,50.0,-0.3484360782025387,0.75,0.875,1,0.75,3,0.8333333333333334,9,4,2,2,4,0.45,0.55,-1.066729634254994,-1.6398922958052287,1,1,2,2,2,-0.5669188163210045,0.5,0.5,3,0.5,0.5,0.9,0.9285714285714286,0.899303293052861,0.21428571428571427,-0.9567532075199815,-0.13696317996910903,1,0.9,1,1,-0.2104732097056057,-0.7848905642207468,-0.8373855826428538,1.0871478175873686,-1.0271868296772464,-0.7561914703898819,-1.0456221209685077,4.455167790180623,0.5,-0.9249036477698097,1,2.17120252840389,0.5,1,0.1526304691773201,0.625,-1.005012157822057,-1.2420800374925642,0.039999999999999994,0.5,0.8333333333333334,-0.7406335114617164,-0.643529308761309,-0.35953914829025974,0,1,1,11.8
